pops_id,borough,address_normalized,building_name,bbl,bin,latitude,longitude,pops_type,year_established,required_hours,required_size,required_amenities,other_requirements,confirmed_pops_violation_count,post_2017_dob_enforcement_count,property_only_action_count,needs_review_count,any_linked_bulletin_action_count,confirmed_penalties_total,latest_enforcement_date,latest_enforcement_date_precision,enforcement_ids_confirmed,comptroller_2017_inspected,comptroller_2017_compliant,comptroller_2017_findings,comptroller_2017_audit_row,comptroller_2017_match_confidence,evidence_note
M050004,Manhattan,500 PARK AVENUE,500 Park Tower,1012940037,1036084,40.762894,-73.970356,Arcade; Sidewalk Widening; Urban Plaza,1984,24 Hours,Arcade 2695.00 sf; Sidewalk Widening 1173.40 sf; Urban Plaza 1479.00 sf,Lighting; None; Planting; Plaque/Sign; Retail Frontage; Trees on Street,,0,0,0,0,0,0,,,,True,yes,,67.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050005,Manhattan,499 PARK AVENUE,,1013130004,1037164,40.76254,-73.969605,Glass-Enclosed Urban Plaza Equivalent; Open Urban Plaza Equivalent; Sidewalk Widening Equivalent; Through Block Arcade Equivalent,1980,24 Hours,Glass-Enclosed Urban Plaza Equivalent 1450.00 sf; Open Urban Plaza Equivalent 525.00 sf; Sidewalk Widening Equivalent 487.00 sf; Through Block Arcade Equivalent 1540.00 sf,Lighting; None; Plaque/Sign; Seating; Trees within Space,,0,0,0,0,0,0,,,,True,yes,,68.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050006,Manhattan,110 EAST 59 STREET,,1013130005,1037165,40.762219,-73.969317,Arcade; Plaza (in C5-3); Plaza (in C6-4),1968,24 Hours,Arcade 4210.00 sf; Plaza (in C5-3) 4786.00 sf; Plaza (in C6-4) 398.00 sf,None,,0,0,0,0,0,0,,,,True,yes,,69.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050007,Manhattan,115 EAST 57 STREET,Galleria,1013127501,1036926,40.761711,-73.969757,Covered Pedestrian Space,1974,Restricted Hours,Covered Pedestrian Space 7419.29 sf,Climate Control; Lighting; Other Required; Planting; Plaque/Sign; Programs; Retail Frontage; Seating; Tables; Trees within Space; Water Feature,skylight,0,0,0,0,0,0,,,,True,no,,70.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050008,Manhattan,9 WEST 57 STREET,Solow,1012730022,1035071,40.763886,-73.974991,Arcade; Plaza,1972,24 Hours,Arcade 10970.90 sf; Plaza 17596.90 sf,None,,0,0,0,0,0,0,,,,True,no,,71.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050009,Manhattan,58 WEST 58 STREET,,1012737501,1035078,40.764458,-73.976351,Arcade; Plaza,1968,24 Hours,Arcade 1500.00 sf; Plaza 4918.48 sf,None,,0,0,0,0,0,0,,,,True,no,,72.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050010,Manhattan,211 WEST 56 STREET,Carnegie Mews,1010280017,1024894,40.765474,-73.98147,Plaza,1976,24 Hours,Plaza 4773.50 sf,Other Required; Planting,access ramp from West 56th Street to Plaza,0,0,0,0,0,0,,,,True,construction,,73.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050011,Manhattan,888 7 AVENUE,,1010280029,1024895,40.765361,-73.980881,Plaza,1970,24 Hours,Plaza 12317.00 sf,None,,0,0,0,0,0,0,,,,True,yes,,82.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050012,Manhattan,118 WEST 57 STREET,Le Parker Meridien Hotel,1010090019,1023455,40.764263,-73.978481,Plaza; Through Block Arcade,1979,24 Hours; Restricted Hours,Plaza 3000.00 sf; Through Block Arcade 6820.00 sf,Artwork; Lighting; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space,skylight above middle portion,0,0,0,0,0,0,,,,True,no,,84.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050013,Manhattan,40 WEST 57 STREET,,1012720063,1035057,40.763549,-73.976359,Plaza; Through Block Arcade,1972,24 Hours; Restricted Hours,Plaza 5183.74 sf; Through Block Arcade 4366.12 sf,Lighting; Planting,,0,0,0,0,0,0,,,,True,yes,,85.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050014,Manhattan,725 5 AVENUE,Trump Tower,1012927501,1035794,40.762311,-73.973894,Covered Pedestrian Space; Landscaped Terraces; Passageway,1983,Closing for Events; Restricted Hours,Covered Pedestrian Space 6626.00 sf; Landscaped Terraces 6336.00 sf; Passageway 0.00 sf,Climate Control; Elevator; Escalator; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Restrooms; Retail Frontage; Seating; Tables; Trees within Space; Water Feature,"Landscaped Terrace (Fifth Floor), Passageway: multiple pedestrian connections to Niketown; skylight",0,0,0,0,0,0,,,,True,no,,86.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050015,Manhattan,590 MADISON AVENUE,,1012920015,1035778,40.762105,-73.973042,Arcade; Covered Pedestrian Space; Seating Area; Through Block Arcade; Urban Plaza,1982,24 Hours; Closing for Events; Restricted Hours,Arcade 1851.00 sf; Covered Pedestrian Space 8261.00 sf; Seating Area 0.00 sf; Through Block Arcade 4669.00 sf; Urban Plaza 1821.00 sf,Artwork; Food Service; Lighting; Litter Receptacles; None; Other Required; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature,access from 8:00 am to 10:00 pm from Through Block Arcade to passageway connecting to adjacent Trump Tower and to Fifth Avenue,0,0,0,0,0,0,,,,True,yes,,87.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050016,Manhattan,450 PARK AVENUE,,1012920037,1035780,40.761495,-73.971328,Plaza,1971,24 Hours,Plaza 3900.00 sf,Lighting; Other Required; Planting; Seating; Trees on Street; Water Feature,access from Plaza to lobby,0,0,0,0,0,0,,,,True,no,,88.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050017,Manhattan,230 WEST 27 STREET,,1007760055,1014237,40.747028,-73.995362,Plaza,1974,24 Hours,Plaza 3093.64 sf,None,,1,1,0,0,1,10000,2023-01,bulletin_month,EA-202301-4e14bbe5b2,True,yes,,89.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050018,Manhattan,550 MADISON AVENUE,Sony,1012910010,1035769,40.761462,-73.973504,Arcade; Covered Pedestrian Space,1983,24 Hours; Closing for Events; Restricted Hours,Arcade 3542.00 sf; Covered Pedestrian Space 10164.00 sf,Climate Control; Food Service; Lighting; Litter Receptacles; Other Required; Plaque/Sign; Restrooms; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space,"10,600 sf exhibit area (Sony Wonder) required to be open Tuesday through Saturday, 9:30 am to 5:00 pm; 70-seat assembly space within the exhibit area available for use by the city's non-profit community for meetings when not in use by Sony Wonder; access to and from Covered Pedestrian Space and Madison Avenue through Sony office building lobby; mobile vendor cart of approximately 65 sf to sell merchandise and/or food",0,0,0,0,0,0,,,,True,no,,90.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050019,Manhattan,1370 6 AVENUE,1370 Avenue of the Americas,1012710071,1034855,40.763275,-73.977471,Plaza,1971,24 Hours,Plaza 4449.00 sf,Lighting; Planting; Plaque/Sign; Seating,,0,0,0,0,0,0,,,,True,no,,91.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050020,Manhattan,230 WEST 55 STREET,La Premiere,1010267502,1078861,40.764686,-73.982694,Residential Plaza,1979,Restricted Hours,Residential Plaza 5215.00 sf,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,0,0,0,0,0,0,,,,True,no,,92.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050021,Manhattan,1345 6 AVENUE,Alliance Capital,1010070029,1083719,40.763064,-73.979254,Plaza,1968,24 Hours,Plaza 30171.00 sf,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space; Water Feature,,1,1,1,1,2,5000,2023-11,bulletin_month,EA-202311-c8fe24e364,True,no,,93.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050022,Manhattan,1350 6 AVENUE,Men's Apparel,1012700071,1034815,40.762575,-73.977778,Plaza,1966,24 Hours,Plaza 5879.50 sf,None,,0,0,0,0,0,0,,,,True,yes,,94.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050024,Manhattan,535 MADISON AVENUE,Warburg Dillon Read,1012900021,1035747,40.76043,-73.973277,Arcade; Urban Plaza,1982,24 Hours,Arcade 1700.00 sf; Urban Plaza 4869.30 sf,Artwork; Bicycle Parking; Food Service; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space,,0,0,0,0,0,0,,,,True,no,,95.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050025,Manhattan,520 MADISON AVENUE,,1012890014,1035727,40.760258,-73.974476,Sidewalk Widening; Urban Plaza,1982,24 Hours,Sidewalk Widening 5353.00 sf; Urban Plaza 2610.00 sf,Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature,,0,0,0,0,0,0,,,,True,no,,96.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050026,Manhattan,1330 6 AVENUE,,1012690001,1034522,40.761966,-73.978478,Plaza,1965,24 Hours,Plaza 6312.00 sf,Artwork; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables,,0,0,0,0,0,0,,,,True,yes,,97.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050027,Manhattan,825 7 AVENUE,Tower 53,1010067501,1023166,40.762998,-73.981279,Plaza,1967,24 Hours,Plaza 2554.70 sf,None,,0,0,0,0,0,0,,,,True,no,,98.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050028,Manhattan,1700 BROADWAY,,1010250025,1024836,40.763512,-73.982272,Plaza,1968,24 Hours,Plaza 8241.00 sf,Bicycle Parking; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees within Space,green screen,0,0,0,0,0,0,,,,True,no,,99.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050029,Manhattan,810 7 AVENUE,,1010240038,1024828,40.762913,-73.982525,Plaza,1970,24 Hours,Plaza 6575.00 sf,Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees within Space,trellised arcade in Plaza along West 53rd Street,0,0,0,0,0,0,,,,True,yes,,100.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050030,Manhattan,1301 6 AVENUE,,1010050029,1023161,40.761768,-73.980027,Arcade; Plaza,1964,24 Hours,Arcade 6274.00 sf; Plaza 18376.07 sf,None,,0,0,0,0,0,0,,,,True,yes,,101.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050031,Manhattan,51 WEST 52 STREET,CBS,1012680001,1081406,40.761227,-73.978746,Plaza,1965,24 Hours,Plaza 10731.60 sf,None,,0,0,0,0,0,0,,,,True,no,,102.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050032,Manhattan,10 EAST 53 STREET,HarperCollins,1012880007,1035709,40.759813,-73.975317,Plaza; Through Block Arcade,1971,24 Hours; Restricted Hours,Plaza 2890.00 sf; Through Block Arcade 3723.50 sf,Artwork; Bicycle Parking; Climate Control; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street,"12' 5"" x 12' 8"" green screen, 2 brushed stainless steel canopies",0,0,0,0,0,0,,,,True,no,,103.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050033,Manhattan,55 EAST 52 STREET,Park Avenue Plaza,1012880027,1083869,40.759124,-73.973671,Through Block Arcade,1979,Restricted Hours,Through Block Arcade 13000.00 sf,Artwork; Bicycle Parking; Climate Control; Drinking Fountain; Food Service; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Restrooms; Retail Frontage; Seating; Tables; Trees within Space; Water Feature,"skylight, glass crystal detail and lighting on east wall, 8 transparent glass floor to ceiling columns",0,0,0,0,0,0,,,,True,no,,104.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050034,Manhattan,345 PARK AVENUE,,1013060001,1036460,40.757754,-73.972426,Plaza,1968,24 Hours,Plaza 24928.00 sf,None,,0,0,0,0,0,0,,,,True,yes,,105.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050035,Manhattan,645 5 AVENUE,Olympic Tower,1012877501,1035481,40.759199,-73.976086,Covered Pedestrian Space,1974,Restricted Hours,Covered Pedestrian Space 8681.00 sf,Artwork; Climate Control; Elevator; Food Service; Lighting; Other Required; Planting; Plaque/Sign; Programs; Restrooms; Retail Frontage; Seating; Tables; Trees within Space; Water Feature,"public stair between ground and lower level, 41,013 sf of extra Use Group F Retail Space in the building, 507 sf museum display space on street level, informational desk, WiFi, skylight, telephones, museum shop at lower level foyer",0,0,0,0,0,0,,,,True,no,,106.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050036,Manhattan,650 5 AVENUE,,1012670041,1034517,40.75977,-73.976804,Cellar Floor Public Space; Covered Pedestrian Space,1977,Restricted Hours,Cellar Floor Public Space 0.00 sf; Covered Pedestrian Space 3363.00 sf,Climate Control; Escalator; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space,"pedestrian bridge over Cellar Floor Public Space; Cellar Floor Public Space, Covered Pedestrian Space: stone and granite paving; stone and granite paving",0,0,0,0,0,0,,,,True,yes,,107.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050037,Manhattan,1285 6 AVENUE,PaineWebber,1010040029,1023158,40.761165,-73.980533,Pedestrian Circulation Space; Sidewalk Widening; Through Block Galleria; Urban Plaza,1984,24 Hours; Restricted Hours,Pedestrian Circulation Space 0.00 sf; Sidewalk Widening 0.00 sf; Through Block Galleria 8185.96 sf; Urban Plaza 9944.10 sf,Artwork; Drinking Fountain; Escalator; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature,,0,0,0,0,0,0,,,,True,no,,108.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050038,Manhattan,1633 BROADWAY,Paramount Plaza,1010220043,1024812,40.762107,-73.984702,Special Permit Arcade; Special Permit Plaza; Underground Concourse,1971,24 Hours,Special Permit Arcade 8033.20 sf; Special Permit Plaza 23666.00 sf; Underground Concourse 6420.00 sf,Bicycle Parking; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Subway; Tables; Trees within Space,"2 legitimate theaters (one of 1,600 to 1,800 seats and one of 350 to 650 seats)",0,0,0,0,0,0,,,,True,construction,,109.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050039,Manhattan,457 MADISON AVENUE,New York Palace Hotel,1012860053,1035466,40.758249,-73.975,Courtyard,1978,24 Hours,Courtyard 5914.30 sf,Litter Receptacles; Other Required; Planting; Plaque/Sign; Programs; Seating; Water Feature,"through block pedestrian circulation through hotel lobby from East 50th and 51st Streets and Madison Avenue entrances, available at least Monday through Friday, 7:30 am to 9:00 pm, excluding holidays",0,0,0,0,0,0,,,,True,no,,110.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050040,Manhattan,560 LEXINGTON AVENUE,,1013050013,1036451,40.756859,-73.97264,Arcade; Covered Pedestrian Space; Public Access Area,1981,24 Hours,Arcade 2421.00 sf; Covered Pedestrian Space 3489.00 sf; Public Access Area 0.00 sf,Artwork; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Subway; Tables; Trees on Street; Trees within Space,,0,0,0,0,0,0,,,,True,no,,111.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050041,Manhattan,437 MADISON AVENUE,,1012850021,1035455,40.75737,-73.975394,Arcade; Plaza,1968,24 Hours,Arcade 1160.00 sf; Plaza 11385.00 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space,,0,0,1,1,1,0,,,,True,no,,112.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050042,Manhattan,1251 6 AVENUE,1251 Avenue of the Americas,1010027501,1022706,40.759971,-73.981612,Plaza,1970,24 Hours,Plaza 29819.90 sf,None,,0,0,0,0,0,0,,,,True,yes,,113.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
