query_key,status,bbl,bin,label,pelias_confidence,match_type,returned_number,returned_street,geocoded_at
Manhattan|630|1 AVENUE,ok,1009687501,1022060,"630 1 AVENUE, New York, NY, USA",0.8,fallback,630,1 AVENUE,2026-09-20T19:47:34+00:00
Manhattan|630|PARK AVENUE,ok,1013800039,1041137,"630 PARK AVENUE, New York, NY, USA",0.8,fallback,630,PARK AVENUE,2026-09-20T19:51:12+00:00
Manhattan|639|WEST 59 STREET,ok,1011717515,1089374,"639 WEST 59 STREET, New York, NY, USA",0.8,fallback,639,WEST 59 STREET,2026-09-20T19:47:34+00:00
Manhattan|640|5 AVENUE,ok,1012670034,1034516,"640 5 AVENUE, New York, NY, USA",0.8,fallback,640,5 AVENUE,2026-09-20T19:47:34+00:00
Manhattan|646|11 AVENUE,ok,1010767502,1026982,"646 11 AVENUE, New York, NY, USA",0.8,fallback,646,11 AVENUE,2026-09-20T19:47:34+00:00
Manhattan|64|WEST 107 STREET,ok,1018420057,1055667,"64 WEST 107 STREET, New York, NY, USA",0.8,fallback,64,WEST 107 STREET,2026-09-20T19:47:34+00:00
Manhattan|653|10 AVENUE,ok,1010750029,1026966,"653 10 AVENUE, New York, NY, USA",0.8,fallback,653,10 AVENUE,2026-09-20T19:47:34+00:00
Manhattan|655|5 AVENUE,ok,1012880001,1035706,"655 5 AVENUE, New York, NY, USA",0.8,fallback,655,5 AVENUE,2026-09-20T19:47:34+00:00
Manhattan|660|12 AVENUE,ok,1010967501,1027125,"660 12 AVENUE, New York, NY, USA",0.8,fallback,660,12 AVENUE,2026-09-20T19:47:35+00:00
Manhattan|660|5 AVENUE,ok,1012687502,1034520,"660 5 AVENUE, New York, NY, USA",0.8,fallback,660,5 AVENUE,2026-09-20T19:47:35+00:00
Manhattan|660|WEST 178 STREET,ok,1021450031,1063564,"660 WEST 178 STREET, New York, NY, USA",0.8,fallback,660,WEST 178 STREET,2026-09-20T19:47:35+00:00
Manhattan|664|WEST 163 STREET,ok,1021360220,1063344,"664 WEST 163 STREET, New York, NY, USA",0.8,fallback,664,WEST 163 STREET,2026-09-20T19:47:35+00:00
Manhattan|666|5 AVENUE,ok,1012687502,1034520,"666 5 AVENUE, New York, NY, USA",0.8,fallback,666,5 AVENUE,2026-09-20T19:47:35+00:00
Manhattan|666|WEST END AVENUE,ok,1012400001,1033609,"666 WEST END AVENUE, New York, NY, USA",0.8,fallback,666,WEST END AVENUE,2026-09-20T19:47:35+00:00
Manhattan|66|READE STREET,ok,1001507505,1001639,"66 READE STREET, New York, NY, USA",0.8,fallback,66,READE STREET,2026-09-20T19:47:35+00:00
Manhattan|66|ST NICHOLAS PLACE,ok,1020540082,1061189,"66 SAINT NICHOLAS PLACE, New York, NY, USA",0.8,fallback,66,SAINT NICHOLAS PLACE,2026-09-20T19:51:12+00:00
Manhattan|66|WEST 77 STREET,ok,1011290064,1028823,"66 WEST 77 STREET, New York, NY, USA",0.8,fallback,66,WEST 77 STREET,2026-09-20T19:47:35+00:00
Manhattan|67|VESTRY STREET,ok,1002187505,1002831,"67 VESTRY STREET, New York, NY, USA",0.8,fallback,67,VESTRY STREET,2026-09-20T19:47:35+00:00
Manhattan|691|ST NICHOLAS AVENUE,ok,1020507503,1090559,"691 SAINT NICHOLAS AVENUE, New York, NY, USA",0.8,fallback,691,SAINT NICHOLAS AVENUE,2026-09-20T19:51:12+00:00
Manhattan|695|LEXINGTON AVENUE,ok,1013110050,1036888,"695 LEXINGTON AVENUE, New York, NY, USA",0.8,fallback,695,LEXINGTON AVENUE,2026-09-20T19:47:35+00:00
Manhattan|700|WEST 125 STREET,ok,1020040012,1059981,"700 WEST 125 STREET, New York, NY, USA",0.8,fallback,700,WEST 125 STREET,2026-09-20T19:47:36+00:00
Manhattan|701|WEST 179 STREET,ok,1021760054,1064270,"701 WEST 179 STREET, New York, NY, USA",0.8,fallback,701,WEST 179 STREET,2026-09-20T19:47:36+00:00
Manhattan|703|GREENWICH AVENUE,mismatch,,,"703 GREENWICH STREET, New York, NY, USA",,,703,GREENWICH STREET,2026-09-20T19:47:36+00:00
Manhattan|711|FRANKLIN D ROOSEVELT DRIVE,ok,1003560001,1078059,"711 FDR DRIVE, New York, NY, USA",0.8,fallback,711,FDR DRIVE,2026-09-20T19:47:36+00:00
